AssemblyAccession	Taxid	SpeciesTaxid	Organism	AssemblyStatus	RefSeq_category	FtpPath_GenBank	FtpPath_RefSeq	FtpPath_Assembly_rpt
GCF_022845675.1	328813	328813	Alistipes onderdonkii (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/675/GCA_022845675.1_ASM2284567v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/675/GCF_022845675.1_ASM2284567v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/675/GCF_022845675.1_ASM2284567v1/GCF_022845675.1_ASM2284567v1_assembly_report.txt
GCF_022845615.1	322095	322095	Porphyromonas somerae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/615/GCA_022845615.1_ASM2284561v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/615/GCF_022845615.1_ASM2284561v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/845/615/GCF_022845615.1_ASM2284561v1/GCF_022845615.1_ASM2284561v1_assembly_report.txt
GCF_022836875.1	1341165	1341165	Flavobacterium enshiense (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/836/875/GCA_022836875.1_ASM2283687v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/836/875/GCF_022836875.1_ASM2283687v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/836/875/GCF_022836875.1_ASM2283687v1/GCF_022836875.1_ASM2283687v1_assembly_report.txt
GCF_022832975.1	28251	28251	Ornithobacterium rhinotracheale (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/832/975/GCA_022832975.1_ASM2283297v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/832/975/GCF_022832975.1_ASM2283297v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/832/975/GCF_022832975.1_ASM2283297v1/GCF_022832975.1_ASM2283297v1_assembly_report.txt
GCF_022832875.1	28251	28251	Ornithobacterium rhinotracheale (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/832/875/GCA_022832875.1_ASM2283287v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/832/875/GCF_022832875.1_ASM2283287v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/832/875/GCF_022832875.1_ASM2283287v1/GCF_022832875.1_ASM2283287v1_assembly_report.txt
GCF_022832855.1	28251	28251	Ornithobacterium rhinotracheale (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/832/855/GCA_022832855.1_ASM2283285v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/832/855/GCF_022832855.1_ASM2283285v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/832/855/GCF_022832855.1_ASM2283285v1/GCF_022832855.1_ASM2283285v1_assembly_report.txt
GCF_022827545.1	497967	497967	Hymenobacter tibetensis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/827/545/GCA_022827545.1_ASM2282754v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/827/545/GCF_022827545.1_ASM2282754v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/827/545/GCF_022827545.1_ASM2282754v1/GCF_022827545.1_ASM2282754v1_assembly_report.txt
GCF_022811725.1	2929803	2929803	Mucilaginibacter sp. SMC90 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/811/725/GCA_022811725.1_ASM2281172v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/725/GCF_022811725.1_ASM2281172v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/725/GCF_022811725.1_ASM2281172v1/GCF_022811725.1_ASM2281172v1_assembly_report.txt
GCF_022811685.1	2929800	2929800	Chryseobacterium sp. SC2-2 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/811/685/GCA_022811685.1_ASM2281168v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/685/GCF_022811685.1_ASM2281168v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/685/GCF_022811685.1_ASM2281168v1/GCF_022811685.1_ASM2281168v1_assembly_report.txt
GCF_022811665.1	2929799	2929799	Chryseobacterium sp. ADR-1 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/811/665/GCA_022811665.1_ASM2281166v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/665/GCF_022811665.1_ASM2281166v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/665/GCF_022811665.1_ASM2281166v1/GCF_022811665.1_ASM2281166v1_assembly_report.txt
GCF_022811645.1	1705399	1705399	Hymenobacter monticola (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/811/645/GCA_022811645.1_ASM2281164v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/645/GCF_022811645.1_ASM2281164v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/811/645/GCF_022811645.1_ASM2281164v1/GCF_022811645.1_ASM2281164v1_assembly_report.txt
GCF_022810765.1	2929510	2929510	Winogradskyella sp. MH6 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/810/765/GCA_022810765.1_ASM2281076v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/810/765/GCF_022810765.1_ASM2281076v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/810/765/GCF_022810765.1_ASM2281076v1/GCF_022810765.1_ASM2281076v1_assembly_report.txt
GCA_022807975.1	2926907	2926907	Flavobacteriaceae bacterium MT3330 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/807/975/GCA_022807975.1_ASM2280797v1	NA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/807/975/GCA_022807975.1_ASM2280797v1/GCA_022807975.1_ASM2280797v1_assembly_report.txt
GCF_022760175.1	2202721	2202721	Zhouia spongiae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/760/175/GCA_022760175.1_ASM2276017v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/760/175/GCF_022760175.1_ASM2276017v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/760/175/GCF_022760175.1_ASM2276017v1/GCF_022760175.1_ASM2276017v1_assembly_report.txt
GCA_022749295.1	2925117	2925117	Flavobacteriaceae bacterium GSB9 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/749/295/GCA_022749295.1_ASM2274929v1	NA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/749/295/GCA_022749295.1_ASM2274929v1/GCA_022749295.1_ASM2274929v1_assembly_report.txt
GCF_022532105.1	1160795	1160795	Flavobacterium sp. HJ-32-4 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/532/105/GCA_022532105.1_ASM2253210v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/532/105/GCF_022532105.1_ASM2253210v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/532/105/GCF_022532105.1_ASM2253210v1/GCF_022532105.1_ASM2253210v1_assembly_report.txt
GCF_022488405.1	2920939	2920939	Chryseobacterium sp. Y16C (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/488/405/GCA_022488405.1_ASM2248840v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/488/405/GCF_022488405.1_ASM2248840v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/488/405/GCF_022488405.1_ASM2248840v1/GCF_022488405.1_ASM2248840v1_assembly_report.txt
GCF_022453665.1	818	818	Bacteroides thetaiotaomicron (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/453/665/GCA_022453665.1_ASM2245366v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/453/665/GCF_022453665.1_ASM2245366v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/453/665/GCF_022453665.1_ASM2245366v1/GCF_022453665.1_ASM2245366v1_assembly_report.txt
GCF_022429645.1	2918453	2918453	Lutibacter sp. A80 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/429/645/GCA_022429645.1_ASM2242964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/429/645/GCF_022429645.1_ASM2242964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/429/645/GCF_022429645.1_ASM2242964v1/GCF_022429645.1_ASM2242964v1_assembly_report.txt
GCF_022429565.1	2918526	2918526	Lutibacter sp. A64 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/429/565/GCA_022429565.1_ASM2242956v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/429/565/GCF_022429565.1_ASM2242956v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/429/565/GCF_022429565.1_ASM2242956v1/GCF_022429565.1_ASM2242956v1_assembly_report.txt
GCF_018595675.2	2838157	2838157	Flavihumibacter sp. IMCC34837 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/595/675/GCA_018595675.2_ASM1859567v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/595/675/GCF_018595675.2_ASM1859567v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/595/675/GCF_018595675.2_ASM1859567v2/GCF_018595675.2_ASM1859567v2_assembly_report.txt
GCF_018595685.2	2838156	2838156	Flavihumibacter sp. IMCC34838 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/595/685/GCA_018595685.2_ASM1859568v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/595/685/GCF_018595685.2_ASM1859568v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/595/685/GCF_018595685.2_ASM1859568v2/GCF_018595685.2_ASM1859568v2_assembly_report.txt
GCF_022267555.1	2829812	2829812	Proteiniphilum sp. JNU-WLY501 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/267/555/GCA_022267555.1_ASM2226755v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/267/555/GCF_022267555.1_ASM2226755v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/267/555/GCF_022267555.1_ASM2226755v1/GCF_022267555.1_ASM2226755v1_assembly_report.txt
GCF_022259695.1	2916754	2916754	Sabulilitoribacter sp. BrNp1-15 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/259/695/GCA_022259695.1_ASM2225969v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/259/695/GCF_022259695.1_ASM2225969v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/259/695/GCF_022259695.1_ASM2225969v1/GCF_022259695.1_ASM2225969v1_assembly_report.txt
GCF_022221505.1	1117645	1117645	Elizabethkingia anophelis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/505/GCA_022221505.1_ASM2222150v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/505/GCF_022221505.1_ASM2222150v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/505/GCF_022221505.1_ASM2222150v1/GCF_022221505.1_ASM2222150v1_assembly_report.txt
GCF_022221485.1	1117645	1117645	Elizabethkingia anophelis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/485/GCA_022221485.1_ASM2222148v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/485/GCF_022221485.1_ASM2222148v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/485/GCF_022221485.1_ASM2222148v1/GCF_022221485.1_ASM2222148v1_assembly_report.txt
GCF_022221465.1	1117645	1117645	Elizabethkingia anophelis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/465/GCA_022221465.1_ASM2222146v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/465/GCF_022221465.1_ASM2222146v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/465/GCF_022221465.1_ASM2222146v1/GCF_022221465.1_ASM2222146v1_assembly_report.txt
GCF_022221445.1	1117645	1117645	Elizabethkingia anophelis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/445/GCA_022221445.1_ASM2222144v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/445/GCF_022221445.1_ASM2222144v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/445/GCF_022221445.1_ASM2222144v1/GCF_022221445.1_ASM2222144v1_assembly_report.txt
GCF_022221425.1	1117645	1117645	Elizabethkingia anophelis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/425/GCA_022221425.1_ASM2222142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/425/GCF_022221425.1_ASM2222142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/425/GCF_022221425.1_ASM2222142v1/GCF_022221425.1_ASM2222142v1_assembly_report.txt
GCF_022221405.1	1117645	1117645	Elizabethkingia anophelis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/221/405/GCA_022221405.1_ASM2222140v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/405/GCF_022221405.1_ASM2222140v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/221/405/GCF_022221405.1_ASM2222140v1/GCF_022221405.1_ASM2222140v1_assembly_report.txt
GCF_022200785.1	2895286	2895286	Pedobacter sp. Q8-18 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/200/785/GCA_022200785.1_ASM2220078v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/200/785/GCF_022200785.1_ASM2220078v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/200/785/GCF_022200785.1_ASM2220078v1/GCF_022200785.1_ASM2220078v1_assembly_report.txt
GCF_019740355.2	2862509	2862509	Crocinitomix sp. GM2_3_6_6 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/740/355/GCA_019740355.2_ASM1974035v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/740/355/GCF_019740355.2_ASM1974035v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/740/355/GCF_019740355.2_ASM1974035v2/GCF_019740355.2_ASM1974035v2_assembly_report.txt
GCF_022024255.1	77095	77095	Prevotella bryantii (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/024/255/GCA_022024255.1_ASM2202425v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/255/GCF_022024255.1_ASM2202425v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/255/GCF_022024255.1_ASM2202425v1/GCF_022024255.1_ASM2202425v1_assembly_report.txt
GCF_022024235.1	752555	77095	Prevotella bryantii B14 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/024/235/GCA_022024235.1_ASM2202423v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/235/GCF_022024235.1_ASM2202423v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/235/GCF_022024235.1_ASM2202423v1/GCF_022024235.1_ASM2202423v1_assembly_report.txt
GCF_022024195.1	77095	77095	Prevotella bryantii (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/024/195/GCA_022024195.1_ASM2202419v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/195/GCF_022024195.1_ASM2202419v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/195/GCF_022024195.1_ASM2202419v1/GCF_022024195.1_ASM2202419v1_assembly_report.txt
